"","GEOLOCATION","YEAR","QUARTER","VOLUMEOFPRODUCTION"
"1","BATANES",2021,"1",1096.83260982584
"2","BATANES",2021,"2",903.471416482003
"3","BATANES",2021,"3",1089.19461900855
"4","BATANES",2021,"4",2044.03655985222
"5","CAGAYAN",2021,"1",185226.886721714
"6","CAGAYAN",2021,"2",346033.968563741
"7","CAGAYAN",2021,"3",99391.4277948867
"8","CAGAYAN",2021,"4",268494.08849974
"9","ISABELA",2021,"1",360823.564003161
"10","ISABELA",2021,"2",344381.017449793
"11","ISABELA",2021,"3",151501.631658699
"12","ISABELA",2021,"4",457848.270006954
"13","NUEVA VIZCAYA",2021,"1",64431.2306420155
"14","NUEVA VIZCAYA",2021,"2",59669.3791938201
"15","NUEVA VIZCAYA",2021,"3",61266.422526919
"16","NUEVA VIZCAYA",2021,"4",71936.6904673524
"17","QUIRINO",2021,"1",26163.4506245673
"18","QUIRINO",2021,"2",26226.0210213564
"19","QUIRINO",2021,"3",7598.78892325585
"20","QUIRINO",2021,"4",41392.7656281386
"21","BATANES",2022,"1",2155.04420495975
"22","BATANES",2022,"2",1823.73406218687
"23","BATANES",2022,"3",2505.70376017199
"24","BATANES",2022,"4",3512.25719250941
"25","CAGAYAN",2022,"1",184832.586626834
"26","CAGAYAN",2022,"2",339320.094809244
"27","CAGAYAN",2022,"3",95598.9646349392
"28","CAGAYAN",2022,"4",266905.223280274
"29","ISABELA",2022,"1",362327.474857684
"30","ISABELA",2022,"2",339780.101427917
"31","ISABELA",2022,"3",156488.713288545
"32","ISABELA",2022,"4",453427.451120051
"33","NUEVA VIZCAYA",2022,"1",64455.2294632224
"34","NUEVA VIZCAYA",2022,"2",59322.6639557269
"35","NUEVA VIZCAYA",2022,"3",61664.9577669557
"36","NUEVA VIZCAYA",2022,"4",71907.6257315239
"37","QUIRINO",2022,"1",25447.3500293255
"38","QUIRINO",2022,"2",25326.1116832539
"39","QUIRINO",2022,"3",7673.53350126526
"40","QUIRINO",2022,"4",41484.6957744189
"41","BATANES",2023,"1",2709.6481348482
"42","BATANES",2023,"2",2460.48144396868
"43","BATANES",2023,"3",3391.23297069147
"44","BATANES",2023,"4",3995.4704025381
"45","CAGAYAN",2023,"1",185680.447728039
"46","CAGAYAN",2023,"2",339867.160756624
"47","CAGAYAN",2023,"3",93557.5353160015
"48","CAGAYAN",2023,"4",263286.029926407
"49","ISABELA",2023,"1",356294.476736396
"50","ISABELA",2023,"2",335668.867766801
"51","ISABELA",2023,"3",156212.337365837
"52","ISABELA",2023,"4",447786.540574621
"53","NUEVA VIZCAYA",2023,"1",63486.7148663183
"54","NUEVA VIZCAYA",2023,"2",59329.2444112137
"55","NUEVA VIZCAYA",2023,"3",61514.5312198626
"56","NUEVA VIZCAYA",2023,"4",71632.1926847147
"57","QUIRINO",2023,"1",25504.2803923119
"58","QUIRINO",2023,"2",25575.2416386396
"59","QUIRINO",2023,"3",8432.17567125094
"60","QUIRINO",2023,"4",41313.815084101
"61","BATANES",2024,"1",3213.48919294319
"62","BATANES",2024,"2",3246.72795930747
"63","BATANES",2024,"3",3575.73971976968
"64","BATANES",2024,"4",4230.06708241652
"65","CAGAYAN",2024,"1",187508.594482077
"66","CAGAYAN",2024,"2",329956.083676142
"67","CAGAYAN",2024,"3",96012.9432878601
"68","CAGAYAN",2024,"4",265039.122178932
"69","ISABELA",2024,"1",356214.58582719
"70","ISABELA",2024,"2",334309.571651224
"71","ISABELA",2024,"3",154874.1879877
"72","ISABELA",2024,"4",445849.394842811
"73","NUEVA VIZCAYA",2024,"1",62632.3637454828
"74","NUEVA VIZCAYA",2024,"2",59198.4744064793
"75","NUEVA VIZCAYA",2024,"3",60818.6804333447
"76","NUEVA VIZCAYA",2024,"4",70864.9060435523
"77","QUIRINO",2024,"1",25254.7776783964
"78","QUIRINO",2024,"2",25778.3009361073
"79","QUIRINO",2024,"3",8299.85075283676
"80","QUIRINO",2024,"4",40384.2005723343
"81","BATANES",2025,"1",3567.4130324866
"82","BATANES",2025,"2",3900.34766964187
"83","BATANES",2025,"3",3971.31565391857
"84","BATANES",2025,"4",5066.48315304496
"85","CAGAYAN",2025,"1",187101.120974576
"86","CAGAYAN",2025,"2",331365.759549159
"87","CAGAYAN",2025,"3",93878.4835473272
"88","CAGAYAN",2025,"4",262385.120683834
"89","ISABELA",2025,"1",356752.834209376
"90","ISABELA",2025,"2",331120.357455996
"91","ISABELA",2025,"3",154749.639468836
"92","ISABELA",2025,"4",445214.340594049
"93","NUEVA VIZCAYA",2025,"1",62865.7386057461
"94","NUEVA VIZCAYA",2025,"2",59372.6900745828
"95","NUEVA VIZCAYA",2025,"3",60884.2785382015
"96","NUEVA VIZCAYA",2025,"4",70608.8110356784
"97","QUIRINO",2025,"1",25125.7948119468
"98","QUIRINO",2025,"2",25557.1392306839
"99","QUIRINO",2025,"3",8579.38520844611
"100","QUIRINO",2025,"4",39391.2862942535
